text,labels
yêu thương buồn,"[3, 22, 21]"
hay qua,"[2, 11]"
dễ thương kinh khủng bởi vậy mới nói mấy đứa yêu nhau là lầy nhất,[2]
ủa ai cấp bằng cho bả vậy trờiii,"[15, 25, 24]"
lập tên khác với tên ngờ u ngu thôi cười,"[0, 25, 26]"
mỗi lần chào cờ vui đậu má dễ thương vãi vậy,[2]
nhiệt điện à bác sao em không thấy nhỉ,[14]
giống con nít quá ba vui,[0]
lập blog này ra đừng ai nhận ra toi người ta đọc tiêu đề chứ có đọc nội dung đâu mà biết bạn nên tóm tắt lại dùm nếu đọc rùi vì thời đại này đọc bài thì tốn thời gian aay,"[25, 26]"
nhiều lúc lắm câu hỏi ngớ ngẩn thật,[23]
lan anh lê mấy đứa mày mè là hay cúng xôi chè lắm,"[25, 23]"
disss giật hết cả mình vui,"[13, 16]"
tính phương án chia tay đi nhé là người yêu không cảm thông đã đành còn chê bai dè bỉu nếu 1 phần lí do bro khóc là do chuyện tình cảm thì chứng tỏ mối quan hệ đã có vấn đề từ trước rồi phần nhiều là trong 1 sớm 1 chiều cũng sẽ đổ vỡ thôi nếu đằng nào cũng không cứu vãn được thì hãy là người chủ động chấm dứt vì trong tình huống này bản thân là người bị thiệt nên càng kéo dài càng hại kể ra mất mặt cũng chỉ là 1 phần cái chính ở đây là giác ngộ ra được 1 redflag để cứu bản thân khỏi 1 mối quan hệ độc hại,"[24, 20, 21]"
hai bác học nghiêm túc ghê vui,"[0, 8]"
đã vậy xung quanh toàn mấy đứa đẹp gái còn pmg,[11]
phùng ngọc toàn nói thế cộng đồng lẩu gà bình thuận cắn đấy ông,"[6, 17]"
ai ai nhả vía cho tôi nói ít 1 tí đi nhiều khi chính bthan tôi còn không bạn vì sao tôi nói nhiều tới thề buồn,"[21, 19]"
tiền nhiều để làm gì để rồi lại chia ly,"[20, 21]"
thu thủy mày liệu hồn đó,"[24, 25]"
nangoc84 sắp đến giờ thiêng để anh viết những bài chất lượng tạo hướng cho những bạn đam mê và muốn được viết,"[1, 5]"
cứ thấy trai đẹp là tao hạnh phúc vui,[2]
các bạn ơi thay vì có những suy nghĩ tiêu cực thì hãy tích cực thay đổi bản thân đi mày của 5 tháng trước trông phèn phèn bẩn bẩn mà biết skincare và make đăng lên là thay đổi hoàn toàn luôn,"[5, 6]"
ngọc liên đúng mấy bộ phim ma cương thi này rồi cười lúc ngồi xem không sợ đâu nha cười hí ha hí hửng đồ nhưng cứ tới tối là nó lạ lắm,"[0, 17, 16]"
tuy mấy bạn không xinh nếu bạn hòa đồng vui vẻ và thân thiện tự tin thì một ngày nào đó bạn sẽ đẹp nhất trong mắt người thích bạn,[5]
chỉnh sửa ảnh miễn phí bọn nhà báo thôi,"[25, 26]"
cứ nghe 2 chữ việt nam với nhạc trong video là nổi hết cả da gà,"[1, 7]"
hy hy dương 1 độc thân vui hơn nhiều yêu thương,"[2, 3]"
bí quyết là phải đồng hóa và dân số lớn mới gìn giữ được quốc gia,[7]
về sản xuất gạo có gì đó sai sai,"[15, 25]"
giỡn ngu kiểu đó người ta bị tim giật mình chết rồi sao giỡn với mình kiểu đó mình đánh cho vỡ mồm luôn,"[24, 25]"
phòng tập thì liên quan cặc gì đến bê đê tuy phòng tập nhưng người ta còn siêng tập nặng hơn mấy tụi bây nhé,[24]
tuyệt vời nhưng cậu bé liều quá chẳng may lại gặp bọn xấu thì không biết chuyện tồi tệ gì sẽ xảy ra nữa mong cháu luôn khỏe học tập tốt em cháu sẽ mau hết bệnh để về với cháu,"[1, 2, 5, 6, 16]"
buồn là động lực thật đấy mà 6 năm rồi vẫn buồn thì là kém năng lực,"[21, 20]"
nguyễn an vũ cái gì cũng phải có 2 mặt của nó bạn,[12]
mình le giờ phải,[19]
per để tao xem chúng mày hạnh phúc được bao lâu,"[15, 14]"
per khi bạn đang bón mạng nhưng chị bạn lại bật hongkong1 vui,"[0, 25]"
em vừa thấy chị ở landmark ạ yêu thương yêu thương yêu thương,[2]
em đã khóc khi đọc bài báo thật cảm động trước tình cảm của cậu bé dành cho em mình,"[2, 3, 21, 6]"
cám ơn video của chị em cũng đang trong tình trạng khủng hoảng tinh thần may mà có video của chị giúp em giải quyết phần nào về cảm xúc của mình,"[9, 10]"
cmm lộ hết thông tin của người ta,[23]
xinh quá,[2]
ánh dương 1 ly tiến sĩ size l thêm 30k trân châu này,[2]
giang sơn dể đổi bản tính khó dời,"[12, 20, 26]"
buồn ít thôi buồn nhiều thì chuyện nó vẫn thế à,[6]
bà ngoại của em đáng yêu hơn thế này nhiều,"[3, 8]"
đỗ thanh mình cũng nói thế mà đang gặp phải đây cũng chả thèm đụng là gì nó ăn vạ giỏi lắm,[25]
cóc nào tao không có thích thầm đứa nào để đứng lại ngắm cái chỗ ngồi nhể,[2]
thỉnh thoảng lại xem lại phim này quá hay và ý nghĩa,"[2, 8, 12]"
tất cả trừ mèo đen mèo đen trong chỗ tối thì sợ còn kèm thêm cái rèm cửa trên cửa kính không được đóng chặt lại nữa,"[16, 25]"
cặp nay dễ thương ghê luôn vui,[2]
10 đ cháu grap oi,"[8, 11, 9]"
chưa bao giờ dám xin tiền nội vì khoảng cách tôi và nội nó xa quá cảm giác như người ngoài vại,[21]
tủi hổ với bản thân ghê khi tao vẽ người mà mẹ tao hỏi hóa ra đây là hình dạng thực của quỷ sao chán,[21]
hoàng văn công cũng chỉ vì miếng đớp vào mỏ thôi ăn cho lắm vào rồi sán chó với gout nha,"[25, 0]"
campa sara vậy bạn mình đã thành gì ở 2 vế trên,[14]
thanh thanh nhàn nchung cx có người này người kia mà phạt này vẫn nhẹ chán quả đi lùi với ngược chiều là rất nguy hiểm lun ấy ngang với tự tử,"[24, 25, 16]"
ngô thị ngọc hà,[11]
vẫn là thụ động làm sao phải chặn đứng hiện tượng rải đinh,[27]
hối hận lớn nhất với tôi là yêu đơn phương và tự giờ uỷ hoạ i bản thân bằng game và qt,[18]
cháu mình bị đánh tím cả chân tức giận,"[21, 24]"
sai còn không biết sửa còn thích giận lại cút hộ,"[24, 25]"
giống y bố tao ngoa khủng khiếp nhưng mà nhà tao vui vãi_chưởng điểm danh nhà bố học giỏi văn nào,"[0, 2, 7]"
ngại buồn,[19]
có thể bán lại cho tớ không,[4]
hà nội đéo có đâu nhé dăm ba cái thứ y đang vớ vẩn vui,"[25, 23]"
thái hà oto để ngoài nắng tầm 1 tiếng mà bước lên xe đã không thở được rồi đằng này bé còn trong xe tới 11 tiếng buồn buồn,"[16, 21, 24, 22]"
viet anh đẻ chục đứa không đặt hết tên,"[0, 2]"
em cảm ơn thầy rất nhiều ạ,[9]
mày cũng có con gái 18 tuổi từ bé đã không bao giờ đặt quá nhiều tiêu chuẩn và kì vọng vào con miễn con lớn lên làm người tử tế trong xã hội là được mọi thứ trong học tập tới giờ phút này do bản thân con luôn nỗ lực không ngừng chứ không phải do mày ép con trong kì thi đại học vừa qua con đã bước chân được vào ngôi trường đại học con mơ ước,"[2, 7, 10, 6]"
chẳng cần hay chẳng cần vui,"[0, 14]"
đúng quá,[11]
thiếu là quốc gia chống dịch tốt nhất thế giới đất nước đáng sống và quốc gia có người dân thân thiện nhất yêu thương yêu thương yêu thương,"[3, 7]"
chúc anh có sinh nhật vui vẻ anh khi nào lấy vợ mời em với ạ xa mấy em cũng đến được,"[2, 5, 6]"
tôi luôn tự hào là người việt nam,[7]
tuyệt vời quá trên đời này vẫn còn có nhiều tấm lòng biết hiểu và thương lan tỏa một năng lượng sống đến với mọi người khốn khó đừng tuyệt vọng bên ta còn có nhiều cửa ngõ có ánh sáng,"[2, 5, 6, 9]"
được nguyễn sếp lớn gặp người hâm mộ siêu cứng rồi,[0]
nhìn rợn vãi,"[23, 16]"
nó ngáo đá nay nó leo cột điện mợ cứu nó xuống mai nó làm vài mạng người,[23]
chuan,[11]
nguyễn quyên vãi chưởng,[0]
không kiểm tra lại mới lạ con xe bằng cả gia tài của mình lỡ có vấn đề gì đầu thai không kịp,[0]
tao mà nhậu xong đi cái đường này xác định,[27]
rất thuyết phục,[11]
tvnhinhi hôm nay là một ngày tuyệt vời hơn ngày hôm qua,"[5, 2]"
bảng thống kê so sánh ngành nghề vị trí lẫn lộn vô giá trị,"[25, 26]"
tuấn anh không được cho con uống trà trân châu nữa bố ạ buồn,"[20, 21, 17]"
theo cách bản thân em rút ra đó là do kiến thức bản thân và bên ngoài của mình không vững kém nên không dám nói vì sợ sai dẫn đến rụt rè nên em thường khắc phục đó là tìm hiểu tự học trước các vấn đề và dự phòng các tình huống sẽ gặp phải từ đó giúp mình tự tin hơn,"[18, 5]"
ngoctailee thêm nhiều đá làm 1 hơi hết ly qúa ngon bác ạ,"[0, 11, 2]"
july107193 buông bỏ cũng là môt loại trí huệ đó ạ,"[12, 11]"
mê trai hơn bạn có thật buồn,[2]
chị yêuuuuuuuuu thấy thông báo là vô luôn hóng ngày chị tổ chức fanmeet ở sài gòn ạ,"[3, 1]"
tổ quốc trên hết,[7]
tao cũng nghĩ là vậy chứ ở đó mà mừng rồi nuôi đẻ bố mày không thích ăn sừng phắng,[24]
tao buồn mấy năm nay rồi,"[21, 22]"
tvnhinhi chuẩn rồi nhi ơi cuộc sống luôn có 2 mặt được cài này thì mất cái kia đôi khi mất đi cái hiện tại lại được mở ra chân trời mới nên cứ vô tư mà sống thôi bạn nhờ,"[5, 6, 10]"
đứng trước ngã rẻ cuộc đời ta tự hỏi đâu mới là con đường đúng đắn tương lai sẽ đi về đâu mỗi bước ta chứa đầy sự non dại hoang mang và lo lắng đau lòng,"[17, 15]"
mai đi học mà mình quên cách cầm bút rồi buồn,[21]
hải trần ngus,[25]
lúc nó lạng lách đánh võng net pô thì ở ngoài rủa loại này đánh chết tôi mừng giờ lên đây thấy ai cũng bênh,"[0, 24, 25]"
vô tâm vãi thôi độc thân vui tính đi,"[20, 25]"
ghét nhất thể loại này,"[23, 25]"
nó tăng động y như tao dị đó vui,[0]
mình xấu mình nhìn thấy mấy đứa xinh xinh mà không nói nên lời luôn ý nhìn bọn nó có bạn chơi lúc nào nụ cười cũng ở trên mặt còn mình thì hướng nội không có bạn,"[19, 21, 20]"
đeo khẩu trang đi tớ xấu nên tớ cũng đeo,[19]
thương em quá xin chia buồn cùng gia đình,"[6, 22, 21]"
đụ moá nhây vào bồ nhí tôi là méo được rồi tức giận,"[23, 25]"
per tuổi thơ của mềnh đi học là lúc nào bạn tao cũng ngồi trên và khi nào múa giờ ra chơi cũng múa chung với mềnh,[2]
ông này đẹp vãi,[8]
tao lại lấy mỡ đè chết mày bây giờ,[24]
cảm ơn anh vì video hay ạ yêu thương,[9]
có bạn nữ nào 2k2 đang cô đơn vào nhắn tin với mình mình cx đang cô đơn chán quá,"[21, 4]"
cục súc vậy ai chơi,"[23, 25]"
ha nguyen thúc dục chứ không nên ép buộc con như thuận,"[25, 26]"
có khi giờ tỉnh rồi đéo dám xuống nữa,[27]
con này phải đổ bê tông vào l mới xứng đáng loại người chả được cái nết gì chán,"[23, 25]"
gớm quá nhớ lại lúc còn đạp xe đi học cán qua mấy lũ nay kêu bốp bốp rợn hêt cả da gà da vịt ghét ghét ghét ghét,[23]
trong khi đó lũ con trai lớp tao mỗi lần cắt tóc xong là một vở kịch mới được mở màn vui vẻ,[0]
tran diem má nó là hoa hậu à hông coá đẹp cười,"[0, 26]"
nước đi của chị gái này chắc khổng mình sống dậy cũng mắc bẫy rồi lại uất ức mà chết tiếp lần nữa chứ người thường đ ai mà tránh được,"[22, 23, 24]"
tao thấy nhảm quá,[23]
tan chảy buồn buồn,"[2, 3]"
định share cho mấy bạn trong list fr thêm động lực mà đọc bình luận xong đến tao còn thấy tụt mood,"[20, 25, 13]"
đã sợ rồi cố gắng hí mắt để xa ra để coi như thế nào khúc cuối hết hồn dục luôn cái điện thoại vui,[16]
ông bà xinh quá,"[2, 8, 0]"
mình muốn gắn thẻ mấy ông hàng xóm vào đây để các bác ấy biết rằng bác ấy không chỉ buồn mà còn hát rất dở,[23]
𝗰𝗵𝗶𝗽 𝘀𝗶𝙚𝘂 𝗾𝘂𝝰𝙮𝙮𝙮 xuân mai shop yess đúng vạy vui,"[0, 11]"
đã không thành công rồi mà còn gửi thư này nọ đúng hề vui,[23]
mọi người cứ chửi vậy thôi nó cũng có lý do cả nhiều nhà sống chó mất dậy bỏ mẹ ra chỉ biết đến mình trước khu bạn tôi cũng vậy cả 1 ngõ chung tiền để nâng đường làm ngõ cho đỡ bị ngập nước riêng có 1 nhà đầu ngõ nó nhất định không đóng 1 nghìn nào dù những nhà bên trong cũng như cả ngõ cũng ưu tiên mấy nhà đầu ngõ đóng ít hơn vì nhà nó bảo nhà nó ở đầu không đi đâu vào trong đấy cả nên không đóng đợt vừa rồi ăn hỏi ông con trai xong cả xóm không cho rựng rạp không cho để nhờ xe cộ ví dụ có quay video ngắn lên mạng chắc lại bị bọn nó táp cho là hàng xóm sống như l cho coi,"[25, 24]"
để anh dẫn em đi ăn nha vui,"[2, 4, 3]"
mỏi lần làm phiền và sát hại bao nhiu con kiến tôi không tu hành nhưng làm thế vì miếng ăn ác ôn quá ngon lành gì,[23]
thật ra là nó muốn kiếm em gái anh trai mưa đấy,[27]
mình hồng bình thường hiểu kiểu moi móc thì nó không ra gì còn lại vẫn dạy,[27]
nho tím chủ quán cơm,[27]
lũ này chặt tay bọn nó cho khỏi trộm cắp,[24]
14 2 năm sau tau sẽ là ông già cô đơn,"[16, 20, 21]"
tao thấy cảm động vãi,[2]
nhìn là biết cái quả này độc thân lâu lắm rồi này cũng may chưa đóng,[23]
dăm ba cái kỉu đây hồi nhỏ tao đốt chấy vài á mà,[2]
thứ mà dễ dàng qua cũng nguy hiểm,[16]
má tao coi mà cứ sợ nó bay ra,[16]
tao cũng hao mòn nhan sắc như này,"[20, 21]"
nguyen nga kiểu cũng tốt nghiệp cấp 3 có người biết tích phân có người không ý,[27]
lê trọng nghĩa tùy trường đó bạn ở quê thì vẫn nề nếp ấy xếp hàng vào lớp khi ra chơi và ra về,[27]
nó sale còn 225k là được rồi vui lời quá còn gì mẹ mày per bình luận chi để nó nhận ra chi vậy,[24]
3 chuyện lạ có thật vui,[2]
hối hận đã quá muộn buồn,[18]
và quay xe hay nhất thế giới,"[1, 7]"
nhớ lại ngày đó làm promoter girl bán giấy cười suốt ngày khách chửi cũng cười mà nhớ thời đó ghê mới 1 2 năm chứ mấy,"[0, 2]"
vũ tuấn thành vượt quá sự đau đớn,[22]
không hiểu làm bố mẹ kiểu gì,"[25, 26, 15]"
lỗi tại cái gậy thôi mà,[0]
phim dở ồm,"[20, 23]"
ra xã hội rồi mới biết mình còn may mắn hơn rất nhiều người vậy nên hãy trân trọng những gì mình có vui,[2]
ngạc nhiên tuổi trẻ tài cao vkl cười,"[7, 8, 1]"
nhìn mặt đã thấy tởm lũ thầy cô trong trường biết còn trêu chọc các em rặt một lũ cặn bã súc sinh,[24]
có đứa nào nấu cơm rồi nấu luôn cái bếp như tao không,[27]
xem xong tao đã khóc rất nhiều,[21]
nhi võ bồ nó đi chiếc xe oto màu đỏ kìa xin tha thứ làm gì vui vẻ,[14]
điều tra được chủ bắt nó đi bộ từ đấy về tuyên quang cái kiểu quỵt đấy cứ phải 1 bát cơm và quả trứng cho về m1 15,[24]
học luật chưa mà nhắc sai về lí 3 có cái nhà đấy là đường của nhà ông à vui,"[25, 26, 0]"
anh đang dùng loại mic gì vậy ạ,[14]
về còn tắm rửa đói ăn cơm còn học bài cũ của sáng ngày mai làm vài bài tập mình may mắn ba mẹ không quá ép buộc trong học tập cứ để con học bình thường miễn sao cảm thấy được mà không bị áp lực quá cao,"[2, 9, 10]"
hết hồn sợ quá nhỉ nhạt,[23]
tôi thề hồi nhỏ qua nhà ông hàng xóm vá xe tao bị con ngỗng dí chạy xúc quần quanh nhà ổng vừa chạy vừa la làng tới giờ nhớ lại vẫn còn hãi sợ hãi sợ hãi sợ hãi,[16]
ngu vào quán uống nước lúc nào thích đi thì gọi bạn mang mũ bảo hiểm tới,[23]
hay ta hay ta,[2]
anh per nhìn những hình ảnh này sao em nhớ về anh quá 15 năm ròng rã giờ anh lưu lạc nơi đâu buồn buồn buồn buồn,[21]
thật vi diệu,"[2, 8, 13]"
protein muscles yehh i love it,"[3, 1]"
anh di đa phât cầu xin cầu xin cầu xin,[9]
thanhh nguyệtt lên các nhóm phượt chung không thiếu vui nó nổi tiếng hội phươt lâu rồi,"[0, 1]"
cần 1 thời gian dài thật dài nữa thì ý thức mới đi lên được,"[20, 21]"
chủ vô tâm có chó mà nuôi vất năn vất lóc không tắm rửa để bẩn thì trả có giận có ve,[23]
yêu nghề thực sự,"[2, 7]"
thằng nào nói câu thế thì đừng làm nghề này vậy nếu không có người làm nghề này thì khách sạn sẽ mở cửa cho chúng mày vô àk người có ăn học có ý thức sẽ không nói ra câu đó,"[24, 23]"
hỏi lồn gì lắm thế,[24]
ước gì mèo nhà mình cũng có thể về nhà như vậy mất ẻm được 2 năm rồi buồn,"[21, 22]"
phi long mua rồi chả nhẽ tự chê thì hơi quê,[0]
mẹ trung thu là tết thiếu nhi có phải mùa động dục đâu mà phải có người yêu nhỉ vớ va vớ vẩn chán,[25]
july107193 hay lắm bạn oi,[11]
còn chả có ai nói chuyện thân thiết quan tâm đến tôi,"[20, 21]"
nghe thôi đã thấy chảy hết nước miếng rồi cười,[2]
tô tấn đạt có dị hong bà,[14]
nhà tạp hoá đấy hả vui,[27]
5 tội lỗi lớn nhất khiến bản thân ta phải chịu quả báo nặng nề nhất đó là bất hiếu sát sinh trộm cắp tà dâm khẩu nghiệp,[27]
hân nghiên đừng xem nghiện hơn đá đó bạn ơi cười,"[0, 25]"
như mình mà trèo lên là bị phóng điện luôn bạn nhỉ mình cũng không hiểu được sao bọn nó không bị,[13]
per đến con nít chúng ta cũng không bằng là sao tuổi thơ và tuổi thanh xuân nợ chúng ta quá nhiều thứ rồi buồn buồn buồn buồn,[21]
chả bù cho con ml này đợi mãi không thấy nó về hy vọng em không bị bọn xấu bắt lên dĩa là tốt rồi buồn,[21]
ở đâu vậy anh,[14]
nhằm ngày sinh nhật luôn trời,[13]
1 con ốc cũng có thể gây ra vấn đề về an toàn,[17]
hạnh phúc khi được sinh ra o viet nam ne,"[2, 7]"
có thể là trong sự thất vọng tột cùng về người vợ anh ấy đã nhận ra mình may mắn khi thoát khỏi cuộc hôn nhân khủng khiếp này nên có hành động cúi lạy như cảm ơn,"[9, 10, 12, 20, 22]"
đúng chất người đẹp mặc rẻ rách cũng đẹp,[8]
thật may mắn là mấy đứa cháu tôi không có kiểu iu như vậy hãy quên ngay và luôn những người không tôn trọng mình đi cháu trai ạ bởi phía trước sự nghiệp tương lai còn nhiều cháu không thay đổi thì cuộc đời này cháu không chỉ chờ người ta một đêm đâu mà sẽ rất nhiều rất nhiều đêm đấy buồn,"[10, 21, 6]"
nhện to đến nổi chúng mày giật cả mình à vui,"[13, 16]"
nhìn chú khóc mà mà nghẹn lòng người đàn ông mà rơi nước mắt chứng tỏ quá bất lực,"[21, 22]"
tuyệt vời lắm bạn ạ,[11]
khi nào vụ này kết thúc thì mình uống cà phê trung nguyên trở lại sợ làm giàu cho cô per lắm,"[20, 25, 4]"
cảm động quá nè bạn oi,"[2, 8]"
nghe mát lòng mát gan thế,[10]
bỏ đi mà làm người anh chồng hành xử rất văn mình loại như vậy không đáng phải níu kéo,"[24, 26]"
ngửi mùi hoa sữa xong chia tay vui,[27]
thật không thể tin được,[13]
đang buồn hả không sao đâu xem queen of tears đi cho x2 nỗi puồn,"[21, 22]"
duyên còn thì ở lại hết duyên sẽ rời đi chỉ hối hận cho nhưng ai biết mình sai đối phương thiệt thòi thôi còn khi đối phương sai không có 2 từ hối hận,"[18, 21, 20, 26]"
nguyen phuong anh bạn đã quá hiểu tôi cười,"[12, 0]"
suy nghĩ sai 1 ly đi lun 1 đời zzzzz buồn,"[15, 20, 21]"
yến ngọc đọc thấy thương nhưng mà mình thích kiểu bị người yêu hiếp kiểu bạo lực dẫy đành đậy cười,"[0, 23, 3]"
sang năm quyêt định đi ngủ cho đỡ mỏi mắt,[27]
cảm ơn anh thành về video này 21t nhưng lại chưa xác định rõ được phương hướng nhưng sau khi xem lời tâm sự của anh thì lối suy nghĩ của em đã được mở ra ra nhiều chúc anh bước sang giai đoạn mới của cuộc đời có nhiều thành tựu hơn nữa,"[9, 10]"
14 2 năm ngoái tao mọc sừng nên 14 2 năm nay tao quyết định cưa sừng vui,[2]
tại con này xấu quá không nhận diện được khuôn mặt,"[25, 23]"
hai yen 2 giờ sáng mèo kêu như tiếng em bé khóc ấy rợn thật sự,"[16, 25]"
gặp tao là đéo nói nhìu lùi xe ra rồ ga tông thẳng vào vui,[24]
đã ngoại tình dù vì bất kỳ lý do gì cũng chỉ là khốn nạn nên thoát được khỏi đứa khốn nạn thì phải cảm ơn vui,"[24, 26, 10]"
anh cho em hỏi làm thế nào để chạm được vào học bổng toàn phần ạ,"[14, 4]"
nghiệp hơi nặng nha làm hết hồn,[16]
có gặp cũng đéo dám ngẩng đầu lên nhìn,[21]
anh con mẹ mày vui,"[24, 25]"
học sinh như vậy phải cho đi trại giáo dưỡng đó là mối nguy của xã hội rồi,"[24, 26, 16]"
linglingvnwl yên tâm rồi nars x lingling kwong narsserumcushionxlingling linglingkwong หล งหล งคอง,[10]
cứ chiếu mấy bộ phim thế này bảo sao tụi nhỏ không chịu học,"[25, 26]"
thủy lê cho mình hỏi tư bản là sao mình toàn nghe người hâm mộ bên bts nói tập toàn tư bản này kia mà không hiểu tư bản là như nào về giải trí,[14]
chị lỡ mất 1 nhịp tim vì cưng đấy yêu thương yêu thương yêu thương,"[3, 2]"
vẫn là chính sách trên giấy tờ,[27]
tôi được làm chính mình khi ở bên con bạn tôi luôn ấy,"[2, 11, 3]"
sợ ế,[16]
con này là con lợn hay con gấu hay con ong vậy,[27]
mày độc ác vãi,[23]
lớp tao tỉnh rụi đi học chứ có phải đi chết đéo đâu mà khóc lóc vui,[23]
per hồi nhỏ bị con đỉ này dí lòi lol bị cắn bầm đen muốn thúi thịt luôn cả tháng hơn mới hết mà đươ c cái con này nuôi nó giữ nhà cửa hay có nó không sợ ma quỷ gì hết,"[0, 16, 25, 10]"
ngưỡng mộ quá đi ạ chúc 2 anh chị mãi mãi hạnh phúc như này nha vui,[2]
thôi ráng cực xíu cho mẹ mau khỏe ráng học mốt thành tài chứ chạy ba gác như chú vất vả lắm á yêu thương yêu thương yêu thương nhớ ba mẹ quá,"[3, 5, 6, 21]"
tao ám ảnh việc lau sàn,"[25, 16]"
địt mẹ vừa đi ép lại kính xong giờ tan con mẹ nó cái kính rồi 200k của bà mày đấyyyyy,[21]
vui đồng nghiệp đáng yêu,[2]
tự tin lên nè được sống một lần trên đời hoi đừng ngại ai nói gì thì nói kệ họ tự tin lên nhó,"[5, 6]"
ra đường chắc không phải hỏi biết bố mày là ai không,[24]
nếu đang làm việc mà lại suy nghĩ đến tiêu cục thì ls đây,[15]
2 thế kỷ mới xây được vậy mà chỉ trong 63 phút tiêu tan hết buồn,"[20, 21, 22]"
mùa hè không nóng đây rồi,[2]
tôi yêu việt nam,"[3, 7]"
tự hào 2 tiếng,[7]
nước mắt tự trào ra thật sự rất cảm động buồn,"[21, 22]"
qua chưa hoàng hiệp chuẩn đợt đấy xem tôi bị ám ảnh,"[0, 16]"
sao tao ghét mấy cái tiếng cười của bọn khựa vãi mà video lồn nào cũng nghe,[23]
dume nhát ma vậy ai coi,"[25, 23]"
sang năm nữa vác giường ra mà nhìn,[27]
mình nghe đồn nhân viên không bỏ việc nhân viên rời bỏ xếp,"[12, 14]"
mất tự tin do đâu nó,"[15, 19]"
huong mình mẹt,[0]
cho dù ở quê nghèo khó đến mấy thì cũng phải trồng trọt gì đó ít nhất thì cũng có trồng rau củ để ăn mới phải còn trường hợp này thấy họ khổ nhưng mà có chút gì đó hơi khó hiểu,[15]
dân chơi nhìn cái biết ngay,[2]
sợ đến lúc đó muốn lấy vợ phải sang nước khác nhập khẩu về quá,"[16, 17, 25]"
tớ xấu lắm nên vì vậy tớ tự ti lắm buồn,"[21, 19]"
per ủa sao giống răng anh vậy,"[13, 15]"
cách người ta phản ứng cũng văn mình ghê yêu thương,[2]
ối dồi ôi như con lợn hồng vậy cười,[0]
nhung nguyen nè cô 3,[27]
rồi chưng ngắn như tao sao nhảy qua,[21]
chị gửi ngân hàng hết rồi cưng nhà cửa ntn để tiền cho nó trộm mất ha chi cưng vui,"[1, 2]"
bạn ơi lên công an xã trình báo đi,"[4, 6]"
không biết đúng sai như thế nào giờ báo đài ai cũng bênh ông vũ tự nhiên cảm thấy táo xàm vì tiền bất chấp,"[20, 25]"
4tr,[27]
cảm ơn anh đã chia sẻ btw lala land cũng là bộ phim làm em khóc nhiều nhất,"[9, 21]"
khi bạn làm con bạn sẽ khóc nhưng khi bạn đã làm cha mẹ bạn sẽ thấy đau lòng,[21]
rồi xong vài bữa thả về đâu lại vào đấy nhiều khí nó về nó lại báo anh tài xế nữa,"[25, 26]"
cuộc chiến đấu vẫn còn tiếp diễn,[27]
phim này hay á ý nghĩa lắm luôn cho những ai đang có ý định 44,"[8, 2, 12, 6]"
chắc phải 6 năm chưa nấu kiểu này rồi trước nấu hôm đầu cơm dẻo ai cũng khen ngon,[2]
đau còn hơn tỏ tình bị từ chối per,"[20, 21, 19]"
đấy cổ tích như thế có mà dân lại ngồi hết lên đầu pháp luật tai nạn tăng không ngừng nghỉ ấy chứ,[23]
cuối ngày hình ảnh của ông bà là đẹp nhất chúc ông bà mãi hạnh phúc sống thật lâu lâu nhé yêu thương yêu thương yêu thương,"[2, 3, 6]"
vậy crush có người yêu rồi,"[20, 21]"
giờ lắm bọn biến thái thế,[23]
công việc không áp lực môi trường xung quanh mới dễ tạo áp lực,"[27, 20, 25]"
vẫn là chính sách trên giấy tờ,"[20, 25]"
quá đãaa,[1]
lắm lông chỉ thế thôi cx thấy tự ti,"[19, 21]"
hãy tôn trọng quyền được mưu cầu hạnh phúc của mỗi cá nhân con người trên thế giới này đi đừng kì thị họ tội lỗi lắm,"[6, 11, 8]"
dễ thương vãi,[2]
hội vũ úi câu nói này được xịn quá,"[2, 8]"
per bày đặt ngày hôm qua đã từng đồ,[23]
thế con lồn chủ nhiệm kia đéo có trách nhiệm gì nữa à giáo viên mà sao nghĩ ngắn thế,[24]
npp đèn chung huyền chán nhỉ như kiểu phong trào vậy,"[20, 25]"
nói không phải khoe chứ em đi xe bò đi học,"[0, 2]"
nói thiệt là 10 người thanh hoá hết 9 người chả ra gì,[24]
tình hình này tháng sau cũng đi tập phòng tập mất,[27]
xưa mình cũng đã từng như anh chị giờ nhìn lại mình còn mai mắn hơn anh chị anh ôi em có quần áo củ muốn gửi cho ci thì phải làm sao ạ buồn buồn buồn,"[6, 9]"
thằng nào chưa bước vào quán bar hay karaoke giống tao không trai ngoan điểm danh vui,"[0, 2, 1, 7]"
duyên nguyễn bé 5 tuổi là bằng con nhà mình cũng khá nghịch ngợm trường hợp này nó ngồi sau chắc nóng hoặc nghịch là tự ý bỏ áo nên mình không nhìn thấy được đôi khi tai nạn xảy ra mình nên cảm thông thôi bạn chắc người ta lúc đó cũng sợ cắt không còn giọt máu ấy chứ,"[6, 16]"
trên thì một kiểu dưới thì kiểu khác,[27]
lừa cả tỉ đồng mà đóng phạt 5 triệu vui thế này thì răn đe cũng,"[24, 25, 26]"
thực sự video này làm mình như được tìm thấy lối đi trong một cuộc hôn nhân đến bắt ngờ bị bế tắc cảm ơn bạn,"[9, 10]"
mình thi xong còn không khóc được buồn,"[20, 21]"
nội cái chống dịch covid 19 là thấy việt nam mình đỉnh ntn rồi yêu thương yêu thương yêu thương,"[3, 7]"
